Date,Symbol,Qty,Price Per Share,Commission,MER Fees,Action
2016-10-30,JPM,15,$143.27,$8.89,$0.00,Buy
2016-12-26,IWM,-34,$196.59,$1.90,$0.00,Sell
2017-01-10,RY.TO,1,$165.65,$5.57,$0.00,Buy
2017-01-27,VTI,2,$200.47,$3.66,$0.00,Buy
2017-02-08,VOO,-96,$577.46,$5.14,$0.00,Sell
2017-02-25,NVDA,10,$441.68,$8.36,$0.00,Buy
2017-04-09,VOO,10,$613.45,$6.88,$0.00,Buy
2017-04-11,NVDA,140,$0.11,$0.00,$0.00,Dividend
2017-05-05,NVDA,25,$515.73,$1.07,$0.00,Buy
2017-05-08,KO,-10,$81.45,$1.23,$0.00,Sell
2017-05-10,QQQ,20,$443.95,$9.65,$0.00,Buy
2017-05-23,RY.TO,-3,$153.34,$8.51,$0.00,Sell
2017-06-07,AMZN,-7,$122.55,$6.20,$0.00,Sell
2017-06-18,XIU.TO,5,$23.47,$9.83,$0.72,Buy
2017-06-27,JPM,25,$196.63,$9.10,$0.00,Buy
2017-08-25,SPY,-9,$303.27,$0.98,$0.00,Sell
2017-08-26,AMZN,15,$100.04,$5.58,$0.00,Buy
2017-09-17,XIC.TO,50,$23.50,$0.88,$0.00,Buy
2017-10-13,SPY,20,$312.07,$2.12,$0.00,Buy
2017-11-02,ENB.TO,2,$36.92,$9.04,$0.00,Buy
2017-11-23,JPM,-6,$147.94,$0.10,$0.00,Sell
2017-12-03,XIC.TO,15,$23.08,$7.24,$0.00,Buy
2017-12-06,JPM,15,$163.86,$9.73,$0.00,Buy
2018-01-15,XIC.TO,15,$24.80,$6.40,$0.00,Buy
2018-01-25,JPM,50,$158.04,$1.49,$0.00,Buy
2018-03-02,QQQ,15,$477.20,$5.56,$0.00,Buy
2018-03-21,KO,20,$89.09,$4.88,$0.00,Buy
2018-04-15,NVDA,15,$539.03,$0.06,$0.00,Buy
2018-05-03,KO,-57,$94.21,$4.79,$0.00,Sell
2018-05-19,KO,-11,$84.21,$3.57,$0.00,Sell
2018-06-01,RY.TO,25,$198.49,$5.37,$0.00,Buy
2018-06-12,SPY,-13,$303.75,$8.66,$0.00,Sell
2018-07-21,AMZN,20,$97.72,$0.38,$0.00,Buy
2018-09-26,JPM,-36,$175.66,$1.81,$0.00,Sell
2018-10-24,IWM,-1,$169.27,$4.52,$0.00,Sell
2018-10-25,CVX,5,$131.91,$1.03,$0.00,Buy
2018-10-26,KO,5,$99.60,$7.34,$0.00,Buy
2018-11-22,VOO,100,$522.59,$1.59,$0.00,Buy
2018-12-27,IWM,2,$170.57,$1.67,$0.00,Buy
2018-12-31,IWM,20,$172.98,$6.16,$0.00,Buy
2019-01-04,VOO,25,$573.48,$5.29,$0.00,Buy
2019-01-28,IWM,50,$155.64,$1.43,$0.00,Buy
2019-02-18,CVX,-1,$159.09,$3.01,$0.00,Sell
2019-02-19,VOO,-57,$566.36,$9.75,$0.00,Sell
2019-03-06,ENB.TO,-11,$33.35,$4.89,$0.00,Sell
2019-03-14,JPM,50,$188.19,$7.59,$0.00,Buy
2019-03-22,KO,20,$102.38,$2.93,$0.00,Buy
2019-04-30,VOO,-104,$772.40,$8.16,$0.00,Sell
2019-05-06,CVX,-50,$218.86,$2.37,$0.00,Sell
2019-07-25,AMZN,-11,$152.42,$3.81,$0.00,Sell
2019-08-17,AMZN,20,$146.03,$7.04,$0.00,Buy
2019-09-24,CVX,-1,$190.28,$2.85,$0.00,Sell
2019-09-27,QQQ,1,$950.29,$5.82,$0.00,Buy
2019-11-04,IWM,15,$161.00,$3.11,$1.15,Buy
2019-11-06,KO,1,$84.87,$8.64,$0.00,Buy
2019-11-07,CVX,2,$182.91,$1.88,$0.00,Buy
2019-11-17,JPM,50,$282.73,$7.99,$0.00,Buy
2019-11-26,IWM,-9,$188.48,$3.97,$0.00,Sell
2019-12-08,SPY,-20,$291.65,$1.88,$0.00,Sell
2019-12-27,ENB.TO,52,$0.42,$0.00,$0.00,Dividend
2020-02-03,XIC.TO,-20,$58.85,$5.24,$0.00,Sell
2020-02-16,XIC.TO,-2,$61.28,$4.12,$0.00,Sell
2020-02-20,XIU.TO,-5,$45.23,$3.58,$0.00,Sell
2020-04-03,CVX,1,$2.00,$0.00,$0.00,Dividend
2020-04-04,CVX,20,$213.15,$8.07,$0.00,Buy
2020-04-05,NVDA,1,$613.56,$2.98,$0.00,Buy
2020-07-20,VOO,-20,$653.07,$4.73,$0.00,Sell
2020-09-02,XIC.TO,10,$71.85,$1.65,$0.00,Buy
2020-09-02,NVDA,25,$750.35,$9.61,$0.00,Buy
2020-09-09,SPY,25,$306.76,$5.03,$0.00,Buy
2020-11-13,ENB.TO,-55,$21.88,$7.38,$0.00,Sell
2020-11-26,JPM,10,$305.24,$8.43,$0.00,Buy
2021-01-08,JPM,5,$344.86,$0.66,$0.00,Buy
