Date,Symbol,Qty,Price Per Share,Commission,MER Fees,Action
2017-11-13,AMZN,15,$143.98,$4.63,$0.00,Buy
2017-12-31,QQQ,30,$0.56,$0.00,$0.00,Dividend
2018-01-02,SU.TO,25,$51.05,$0.12,$0.00,Buy
2018-01-06,AAPL,2,$169.25,$9.79,$0.00,Buy
2018-02-23,VCN.TO,15,$49.83,$6.50,$0.00,Buy
2018-03-27,NVDA,-1,$532.04,$9.36,$0.00,Sell
2018-04-12,SU.TO,20,$62.79,$8.03,$0.00,Buy
2018-06-13,VCN.TO,15,$50.89,$1.64,$0.00,Buy
2018-07-03,VCN.TO,85,$0.29,$0.00,$0.00,Dividend
2018-08-01,VCN.TO,50,$47.24,$5.97,$0.00,Buy
2018-08-09,AMZN,-87,$149.58,$4.99,$0.00,Sell
2018-08-25,SU.TO,2,$64.03,$5.41,$0.00,Buy
2018-08-30,VTI,71,$0.85,$0.00,$0.00,Dividend
2018-09-10,META,10,$227.49,$5.66,$0.00,Buy
2018-09-16,ENB.TO,-89,$88.38,$0.54,$0.00,Sell
2018-09-18,META,100,$215.62,$2.74,$0.00,Buy
2018-09-25,VTI,71,$0.78,$0.00,$0.00,Dividend
2018-10-03,VOO,-83,$428.27,$7.84,$0.00,Sell
2018-10-18,VCN.TO,50,$50.53,$5.25,$0.00,Buy
2018-10-22,VEA,100,$51.02,$5.54,$0.00,Buy
2018-11-02,NVDA,10,$505.06,$2.15,$0.00,Buy
2018-11-28,ENB.TO,10,$82.56,$6.19,$0.00,Buy
2018-11-30,NVDA,20,$432.54,$5.57,$0.00,Buy
2019-01-07,AAPL,2,$145.77,$2.67,$0.00,Buy
2019-01-13,NVDA,15,$493.36,$7.27,$0.00,Buy
2019-04-30,VOO,20,$499.86,$4.15,$0.00,Buy
2019-05-02,ENB.TO,10,$77.42,$8.08,$0.00,Buy
2019-05-08,VCN.TO,50,$52.56,$9.96,$0.00,Buy
2019-05-10,META,10,$337.90,$4.79,$0.00,Buy
2019-05-16,SU.TO,85,$0.85,$0.00,$0.00,Dividend
2019-05-28,VOO,10,$538.29,$0.07,$0.00,Buy
2019-06-21,META,2,$310.75,$3.46,$0.00,Buy
2019-07-12,NVDA,-53,$496.89,$5.01,$0.00,Sell
2019-07-23,NVDA,-21,$533.60,$1.54,$0.00,Sell
2019-08-07,NVDA,-16,$508.76,$4.77,$0.00,Sell
2019-08-08,VOO,50,$505.56,$2.04,$0.00,Buy
2019-08-15,NVDA,-1,$505.81,$6.90,$0.00,Sell
2019-09-20,MSFT,70,$0.76,$0.00,$0.00,Dividend
2019-09-24,VTI,5,$240.19,$2.69,$0.00,Buy
2019-09-28,ENB.TO,-20,$76.29,$7.74,$0.00,Sell
2019-10-17,NVDA,-1,$445.04,$9.33,$0.00,Sell
2019-10-27,NVDA,4,$0.11,$0.00,$0.00,Dividend
2019-12-01,SU.TO,-38,$76.97,$5.67,$0.00,Sell
2019-12-09,AMZN,-56,$206.61,$4.79,$0.00,Sell
2019-12-30,VEA,-26,$53.67,$8.26,$0.00,Sell
2020-01-05,AAPL,2,$164.44,$3.86,$0.00,Buy
2020-03-13,GOOGL,-61,$103.66,$2.71,$0.00,Sell
2020-03-26,MSFT,50,$362.34,$2.00,$0.00,Buy
2020-04-23,GOOGL,15,$86.25,$5.53,$0.00,Buy
2020-06-15,ENB.TO,1,$97.19,$1.40,$0.00,Buy
2020-06-25,AMZN,20,$121.91,$5.53,$0.00,Buy
2020-07-06,ENB.TO,15,$92.92,$3.80,$0.00,Buy
2020-07-18,AAPL,25,$170.87,$3.65,$0.00,Buy
2020-08-05,GOOGL,-20,$87.47,$6.16,$0.00,Sell
2020-08-08,VTI,-11,$323.05,$5.25,$0.00,Sell
2020-08-10,VEA,15,$55.37,$9.44,$0.00,Buy
2020-08-17,VCN.TO,5,$85.39,$4.99,$0.05,Buy
2020-08-28,AAPL,25,$176.83,$0.79,$0.00,Buy
2020-09-08,QQQ,2,$410.55,$9.21,$0.00,Buy
2020-11-02,VOO,5,"$1,217.11",$4.34,$0.00,Buy
2020-11-23,META,100,$381.89,$3.79,$0.00,Buy
2020-12-15,ENB.TO,15,$132.20,$7.70,$0.00,Buy
2021-01-26,QQQ,-21,$482.75,$5.77,$0.00,Sell
2021-01-27,SU.TO,2,$153.00,$9.28,$0.00,Buy
2021-02-04,GOOGL,-8,$71.68,$9.67,$0.00,Sell
2021-02-20,AMZN,2,$164.41,$0.82,$0.00,Buy
2021-03-19,MSFT,-2,$438.36,$2.61,$0.00,Sell
2021-04-14,VOO,15,"$1,710.33",$1.02,$0.00,Buy
2021-05-07,VEA,100,$66.79,$3.42,$0.00,Buy
2021-05-10,SU.TO,50,$2.06,$0.00,$0.00,Dividend
