Date,Symbol,Qty,Price Per Share,Commission,MER Fees,Action
2018-11-01,TD.TO,73,$1.05,$0.00,$0.00,Dividend
2018-11-03,IWM,5,$174.33,$5.93,$0.00,Buy
2018-11-04,SU.TO,15,$33.61,$1.04,$0.00,Buy
2018-11-09,PG,-4,$164.63,$2.44,$0.00,Sell
2018-11-09,QQQ,-30,$476.84,$6.34,$5.96,Sell
2019-01-17,GOOGL,-23,$130.87,$4.79,$0.00,Sell
2019-02-16,SU.TO,-27,$35.20,$5.17,$0.00,Sell
2019-03-20,VCN.TO,-32,$35.89,$6.47,$0.27,Sell
2019-03-23,CNR.TO,-14,$166.60,$2.24,$0.00,Sell
2019-04-11,PG,151,$0.96,$0.00,$0.00,Dividend
2019-05-15,GOOGL,25,$159.01,$9.68,$0.00,Buy
2019-05-16,PG,50,$160.68,$0.16,$0.00,Buy
2019-06-16,IWM,25,$359.70,$3.54,$0.00,Buy
2019-06-17,IWM,-2,$360.10,$5.26,$0.00,Sell
2019-07-18,RY.TO,-19,$170.92,$6.27,$0.00,Sell
2019-07-27,RY.TO,-16,$172.89,$0.58,$0.00,Sell
2019-07-31,QQQ,25,$578.84,$5.52,$0.00,Buy
2019-08-03,TD.TO,2,$70.67,$7.20,$0.00,Buy
2019-08-08,ENB.TO,-80,$46.78,$3.27,$0.00,Sell
2019-08-24,PG,1,$126.50,$2.62,$0.00,Buy
2019-08-29,TD.TO,25,$71.66,$1.61,$0.00,Buy
2019-09-02,CNR.TO,115,$0.93,$0.00,$0.00,Dividend
2019-09-15,SU.TO,5,$26.08,$8.33,$0.00,Buy
2019-10-12,VCN.TO,5,$31.84,$6.37,$0.37,Buy
2019-10-16,QQQ,-12,$690.03,$1.42,$0.00,Sell
2019-10-18,GOOGL,1,$154.01,$3.09,$0.00,Buy
2019-10-20,QQQ,2,$708.40,$5.89,$0.00,Buy
2019-11-04,NVDA,-20,$482.16,$8.26,$0.00,Sell
2019-11-15,TD.TO,50,$78.57,$7.04,$0.00,Buy
2019-11-24,NVDA,150,$0.12,$0.00,$0.00,Dividend
2019-11-26,PG,100,$106.04,$8.39,$0.00,Buy
2019-12-14,IWM,-9,$358.50,$5.33,$0.00,Sell
2019-12-18,TD.TO,10,$81.66,$4.09,$0.00,Buy
2019-12-19,ENB.TO,-37,$45.38,$6.50,$0.00,Sell
2020-01-05,NVDA,20,$511.75,$4.06,$0.00,Buy
2020-02-05,VCN.TO,100,$32.46,$8.22,$0.00,Buy
2020-02-25,PG,25,$103.57,$2.72,$0.00,Buy
2020-03-06,GOOGL,-4,$158.22,$0.71,$0.00,Sell
2020-04-01,NVDA,20,$595.53,$8.28,$0.00,Buy
2020-04-17,IWM,20,$353.85,$9.25,$0.00,Buy
2020-04-22,SU.TO,15,$31.27,$0.93,$0.00,Buy
2020-05-24,QQQ,10,$681.26,$1.31,$0.00,Buy
2020-05-28,TD.TO,-31,$89.78,$3.46,$0.00,Sell
2020-06-04,RY.TO,10,$145.25,$8.96,$0.00,Buy
2020-06-06,QQQ,1,$683.48,$6.10,$0.00,Buy
2020-07-11,GOOGL,-1,$154.71,$8.59,$0.00,Sell
2020-07-16,RY.TO,2,$157.43,$5.11,$0.00,Buy
2020-07-20,PG,25,$89.71,$0.88,$0.00,Buy
2020-08-07,ENB.TO,25,$41.14,$2.02,$0.00,Buy
2020-08-31,ENB.TO,167,$0.67,$0.00,$0.00,Dividend
2020-09-01,ENB.TO,10,$41.34,$6.27,$0.00,Buy
2020-09-13,IWM,-5,$298.65,$0.43,$0.00,Sell
2020-09-17,ENB.TO,50,$41.42,$5.49,$0.00,Buy
2020-10-06,ENB.TO,167,$0.71,$0.00,$0.00,Dividend
2020-10-08,CNR.TO,15,$167.56,$1.40,$0.00,Buy
2020-10-10,NVDA,20,$430.79,$8.05,$0.00,Buy
2020-10-18,QQQ,5,$969.14,$7.01,$0.00,Buy
2020-11-02,IWM,-2,$365.52,$9.53,$0.00,Sell
